date,text,user
2014-02-23T20:29:27.000Z,NEW: Brooklyn Nets have signed Jason Collins to 10-day contract. Collins is first openly gay player on an NBA roster. http://bit.ly/1fm1v5m,/CNN
2014-01-06T16:32:18.000Z,"""Basketball diplomacy"" or publicity? Dennis Rodman & former NBA players head to North Korea. http://cnn.it/1dIObW7",/CNN
2014-01-23T00:48:18.000Z,"Hearing impaired 9-year-old writes a sweet letter calling deaf NFL star ""my insperation"" http://nyp.st/1eT9Edk",/nypost
2014-01-29T16:20:44.000Z,"Capturing Football’s Snaps, Crackles and Pops in Madden NFL",/nytimes
2014-01-07T21:31:24.000Z,Former #NFL player @ChrisWarcraft says he was fired for supporting #gayrights http://cnn.it/1cK9p1h https://pic.twitter.com/nvW8yK2bVr via @CNNvideo,/CNN
2014-02-23T20:29:27.000Z,NEW: Brooklyn Nets have signed Jason Collins to 10-day contract. Collins is first openly gay player on an NBA roster. http://bit.ly/1fm1v5m,/CNN
2014-01-06T16:32:18.000Z,"""Basketball diplomacy"" or publicity? Dennis Rodman & former NBA players head to North Korea. http://cnn.it/1dIObW7",/CNN
2014-01-23T00:48:18.000Z,"Hearing impaired 9-year-old writes a sweet letter calling deaf NFL star ""my insperation"" http://nyp.st/1eT9Edk",/nypost
2014-04-29T18:55:48.000Z,Donald Sterling BANNED From NBA For LIFE http://tmz.me/1mX8e6R,/TMZ
2014-04-26T18:56:07.000Z,NBA Probing Alleged Recording of Clippers Owner http://nyti.ms/1fjaQMc,/nytimes
2014-04-29T18:55:48.000Z,Donald Sterling BANNED From NBA For LIFE http://tmz.me/1mX8e6R,/TMZ
2014-04-26T18:56:07.000Z,NBA Probing Alleged Recording of Clippers Owner http://nyti.ms/1fjaQMc,/nytimes
2014-04-29T18:55:48.000Z,Donald Sterling BANNED From NBA For LIFE http://tmz.me/1mX8e6R,/TMZ
2014-04-26T18:56:07.000Z,NBA Probing Alleged Recording of Clippers Owner http://nyti.ms/1fjaQMc,/nytimes
2014-04-29T18:55:48.000Z,Donald Sterling BANNED From NBA For LIFE http://tmz.me/1mX8e6R,/TMZ
2014-04-26T18:56:07.000Z,NBA Probing Alleged Recording of Clippers Owner http://nyti.ms/1fjaQMc,/nytimes
2014-04-29T18:55:48.000Z,Donald Sterling BANNED From NBA For LIFE http://tmz.me/1mX8e6R,/TMZ
2014-04-26T18:56:07.000Z,NBA Probing Alleged Recording of Clippers Owner http://nyti.ms/1fjaQMc,/nytimes
2014-05-16T16:44:00.000Z,The @NBA Championship trophy paid a visit to our office for the #NBAPlayoffs,/RollingStone
2014-06-16T21:15:06.000Z,San Antonio Spurs HIT THE CLUB after winning NBA Championship http://tmz.me/LXrE46S,/TMZ
2014-05-16T16:44:00.000Z,The @NBA Championship trophy paid a visit to our office for the #NBAPlayoffs,/RollingStone
2014-06-16T21:15:06.000Z,San Antonio Spurs HIT THE CLUB after winning NBA Championship http://tmz.me/LXrE46S,/TMZ
2014-05-16T16:44:00.000Z,The @NBA Championship trophy paid a visit to our office for the #NBAPlayoffs,/RollingStone
2014-06-16T21:15:06.000Z,San Antonio Spurs HIT THE CLUB after winning NBA Championship http://tmz.me/LXrE46S,/TMZ
2014-05-16T16:44:00.000Z,The @NBA Championship trophy paid a visit to our office for the #NBAPlayoffs,/RollingStone
2014-06-16T21:15:06.000Z,San Antonio Spurs HIT THE CLUB after winning NBA Championship http://tmz.me/LXrE46S,/TMZ
2014-05-16T16:44:00.000Z,The @NBA Championship trophy paid a visit to our office for the #NBAPlayoffs,/RollingStone
2014-06-16T21:15:06.000Z,San Antonio Spurs HIT THE CLUB after winning NBA Championship http://tmz.me/LXrE46S,/TMZ
2014-08-05T17:33:15.000Z,San Antonio Spurs make history by hiring NBA's first female assistant coach http://wapo.st/1mjqhlC,/washingtonpost
2014-08-04T22:30:16.000Z,"Injured NBA star, Paul George, gets hospital visit from Floyd Mayweather http://tmz.me/OS0l0lJ",/TMZ
2014-08-05T17:33:15.000Z,San Antonio Spurs make history by hiring NBA's first female assistant coach http://wapo.st/1mjqhlC,/washingtonpost
2014-08-04T22:30:16.000Z,"Injured NBA star, Paul George, gets hospital visit from Floyd Mayweather http://tmz.me/OS0l0lJ",/TMZ
2014-08-05T17:33:15.000Z,San Antonio Spurs make history by hiring NBA's first female assistant coach http://wapo.st/1mjqhlC,/washingtonpost
2014-08-04T22:30:16.000Z,"Injured NBA star, Paul George, gets hospital visit from Floyd Mayweather http://tmz.me/OS0l0lJ",/TMZ
2014-08-05T17:33:15.000Z,San Antonio Spurs make history by hiring NBA's first female assistant coach http://wapo.st/1mjqhlC,/washingtonpost
2014-08-04T22:30:16.000Z,"Injured NBA star, Paul George, gets hospital visit from Floyd Mayweather http://tmz.me/OS0l0lJ",/TMZ
2014-08-05T17:33:15.000Z,San Antonio Spurs make history by hiring NBA's first female assistant coach http://wapo.st/1mjqhlC,/washingtonpost
2014-08-04T22:30:16.000Z,"Injured NBA star, Paul George, gets hospital visit from Floyd Mayweather http://tmz.me/OS0l0lJ",/TMZ
2014-09-25T15:47:07.000Z,ESPN suspends Bill Simmons for his tirade on NFL commissioner Roger Goodell's handling of Ray Rice case,/nytimes
2014-09-30T14:58:04.000Z,NFL player gets penalized after sliding to his knees in prayer: http://cnn.it/1rAAYoC https://pic.twitter.com/ysk7kILBWn,/CNN
2014-10-14T22:05:05.000Z,"NBA star, Matt Barnes, has separated from reality star wife, Gloria Govan http://tmz.me/oXYmRIw",/TMZ
2014-10-04T21:32:10.000Z,NFL bans Beats By Dre as Bose becomes football's 'official sound' http://rol.st/1uL9Bfq,/RollingStone
2014-10-30T02:15:16.000Z,"NBA star, Charlie Villanueva, is ENGAGED to a video model... you've gotta see her HUGE rock! http://tmz.me/hWmzsPw",/TMZ
2014-09-19T20:03:46.000Z,"DEVELOPING: Can the league turn things around? NFL's #Goodell: ""Everything is on the table."" http://cnn.it/1tzaKVu",/CNN
2014-10-20T02:21:32.000Z,Peyton Manning throws 509th touchdown pass to break Brett Favre's NFL record http://fxn.ws/1wYBiPa,/FoxNews
2014-10-22T23:30:18.000Z,You won't BELIEVE how much DeSean Jackson's cleats cost! #NFL http://tmz.me/6tcBR4y,/TMZ
2014-10-08T23:15:08.000Z,"NFL star, Dwight Freeney, teams up with KOBE BRYANT http://tmz.me/kC51plY #TMZHWDSports",/TMZ
2014-09-19T19:50:20.000Z,Roger #Goodell laid out measures the #NFL will take to reduce domestic violence incidences http://foxnewsgo.com,/FoxNews
